,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
1599,None,273.09,0.0,0.0,90,Mist,mist,12/1/2012 8:00,2953,low
1976,None,276.7,0.0,0.0,75,Clouds,broken clouds,12/13/2012 15:00,5698,high
9856,None,279.91,0.0,0.0,64,Clouds,broken clouds,11/14/2013 18:00,4732,high
46718,None,293.79,0.0,0.0,75,Clouds,broken clouds,8/15/2018 2:00,335,very low
17182,None,294.35,0.0,0.0,40,Clouds,scattered clouds,8/7/2015 9:00,4672,high
3548,None,271.51,0.0,0.0,90,Mist,mist,2/12/2013 2:00,289,very low
24979,None,286.055,0.0,0.0,0,Clear,Sky is Clear,7/16/2016 1:00,804,very low
38561,None,274.62,0.0,0.0,90,Rain,light rain,11/1/2017 19:00,3045,low
14644,None,294.54,0.0,0.0,75,Clouds,broken clouds,5/25/2014 23:00,1575,very low
26450,None,293.48,0.0,0.0,1,Clear,sky is clear,9/8/2016 11:00,4451,high
7881,None,298.25,0.0,0.0,12,Clouds,few clouds,7/23/2013 11:00,4932,high
40301,None,263.07,0.0,0.0,90,Snow,light snow,1/2/2018 19:00,2669,very low
20672,None,251.15,0.0,0.0,1,Clear,sky is clear,1/17/2016 11:00,3172,low
37472,None,287.23,0.0,0.0,90,Rain,moderate rain,9/26/2017 2:00,229,very low
577,None,289.62,0.0,0.0,90,Mist,mist,10/24/2012 17:00,5855,very high
16408,None,287.17,0.3,0.0,1,Rain,light rain,7/9/2015 3:00,346,very low
38091,None,291.58,0.0,0.0,40,Clouds,scattered clouds,10/16/2017 17:00,6057,very high
165,None,288.53,0.0,0.0,90,Clouds,overcast clouds,10/9/2012 16:00,6349,very high
28368,None,273.95,0.0,0.0,90,Mist,mist,11/23/2016 7:00,4724,high
42209,None,266.8,0.0,0.0,1,Clear,sky is clear,3/10/2018 0:00,1175,very low
40911,None,267.87,0.0,0.0,40,Clouds,scattered clouds,1/23/2018 18:00,3467,low
26416,None,293.16,0.51,0.0,90,Drizzle,drizzle,9/7/2016 8:00,5732,high
41269,None,262.68,0.0,0.0,75,Snow,light snow,2/5/2018 14:00,4884,high
5171,None,275.2,0.0,0.0,40,Mist,mist,4/16/2013 0:00,535,very low
6123,None,287.25,0.0,0.0,90,Rain,light rain,5/18/2013 16:00,4935,high
32746,None,286.02,0.0,0.0,1,Rain,moderate rain,4/15/2017 22:00,3022,low
2177,None,268.26,0.0,0.0,90,Snow,heavy snow,12/18/2012 22:00,2137,very low
35672,None,298.44,0.0,0.0,75,Mist,mist,7/25/2017 21:00,3512,low
37329,None,284.42,0.0,0.0,1,Clear,sky is clear,9/21/2017 0:00,686,very low
42834,None,267.92,0.0,0.0,1,Clear,sky is clear,4/2/2018 0:00,543,very low
19137,None,288.81,0.0,0.0,1,Clear,sky is clear,10/22/2015 13:00,4913,high
23951,None,288.81,0.0,0.0,90,Rain,light rain,6/4/2016 22:00,2944,low
25033,None,289.858,0.0,0.0,92,Clouds,overcast clouds,7/18/2016 7:00,5881,very high
