,temperature,rain_1h,snow_1h,clouds_percentage,population_density,hour,_Christmas Day,_Columbus Day,_Independence Day,_Labor Day,_Martin Luther King Jr Day,_Memorial Day,_New Years Day,_None,_State Fair,_Thanksgiving Day,_Veterans Day,_Washingtons Birthday
25936,294.36,0.0,0.0,1,440,1,0,0,0,0,0,0,0,1,0,0,0,0
39383,273.79,0.0,0.0,1,5335,9,0,0,0,0,0,0,0,1,0,0,0,0
28021,284.42,0.0,0.0,1,4161,14,0,0,0,0,0,0,0,1,0,0,0,0
44194,301.44,0.0,0.0,40,6496,16,0,0,0,0,0,0,0,1,0,0,0,0
34350,294.28,0.0,0.0,20,5031,9,0,0,0,0,0,0,0,1,0,0,0,0
6602,291.43,0.0,0.0,40,2616,22,0,0,0,0,0,0,0,1,0,0,0,0
26388,294.68,3.27,0.0,75,4335,11,0,0,0,0,0,0,0,1,0,0,0,0
15513,286.28,0.0,0.0,40,922,4,0,0,0,0,0,0,0,1,0,0,0,0
28278,267.58,0.0,0.0,1,5485,6,0,0,0,0,0,0,0,1,0,0,0,0
45283,297.65,0.0,0.0,75,4317,14,0,0,0,0,0,0,0,1,0,0,0,0
29270,255.37,0.0,0.0,1,254,2,0,0,0,0,0,0,0,1,0,0,0,0
15888,296.9,0.0,0.0,40,5274,12,0,0,0,0,0,0,0,1,0,0,0,0
14566,294.44,0.0,0.0,1,6241,17,0,0,0,0,0,0,0,1,0,0,0,0
19263,280.86,0.0,0.0,90,5488,11,0,0,0,0,0,0,0,1,0,0,0,0
22063,277.44,0.0,0.0,90,632,1,0,0,0,0,0,0,0,1,0,0,0,0
8048,297.26,0.0,0.0,0,7070,16,0,0,0,0,0,0,0,1,0,0,0,0
17884,301.74,0.0,0.0,1,6077,15,0,0,0,0,0,0,0,1,0,0,0,0
4307,277.2,0.0,0.0,90,6289,16,0,0,0,0,0,0,0,1,0,0,0,0
17388,293.75,0.0,0.0,1,1467,6,0,0,0,0,0,0,0,1,0,0,0,0
36643,291.94,0.0,0.0,90,4338,15,0,0,0,0,0,0,0,1,0,0,0,0
35503,294.07,0.0,0.0,75,495,1,0,0,0,0,0,0,0,1,0,0,0,0
21496,269.86,0.0,0.0,90,6942,7,0,0,0,0,0,0,0,1,0,0,0,0
4843,274.72,0.0,0.0,90,1984,23,0,0,0,0,0,0,0,1,0,0,0,0
10690,254.39,0.0,0.0,75,509,2,0,0,0,0,0,0,0,1,0,0,0,0
20053,274.88,0.0,0.0,90,6450,16,0,0,0,0,0,0,0,1,0,0,0,0
40029,264.75,0.0,0.0,75,1840,23,0,0,0,0,0,0,0,1,0,0,0,0
15658,296.43,0.0,0.0,75,2952,5,0,0,0,0,0,0,0,1,0,0,0,0
33827,279.89,0.0,0.0,90,3990,10,0,0,0,0,0,0,0,1,0,0,0,0
8804,304.18,0.0,0.0,1,5382,13,0,0,0,0,0,0,0,1,0,0,0,0
36794,288.95,0.0,0.0,1,3096,21,0,0,0,0,0,0,0,1,0,0,0,0
1713,279.48,0.0,0.0,1,3186,19,0,0,0,0,0,0,0,1,0,0,0,0
6591,294.76,0.0,0.0,1,4975,11,0,0,0,0,0,0,0,1,0,0,0,0
6758,284.69,0.0,0.0,92,321,2,0,0,0,0,0,0,0,1,0,0,0,0
20153,274.73,0.64,0.0,90,4619,8,0,0,0,0,0,0,0,1,0,0,0,0
25793,288.78,0.0,0.0,0,5657,7,0,0,0,0,0,0,0,1,0,0,0,0
28794,272.46,0.0,0.0,90,731,1,0,0,0,0,0,0,0,1,0,0,0,0
35655,293.15,0.0,0.0,90,4883,9,0,0,0,0,0,0,0,1,0,0,0,0
47564,294.16,0.0,0.0,1,3258,19,0,0,0,0,0,0,0,1,0,0,0,0
10763,259.22,0.0,0.0,64,341,2,0,0,0,0,0,0,0,1,0,0,0,0
4218,275.36,0.0,0.0,90,2743,19,0,0,0,0,0,0,0,1,0,0,0,0
5739,273.96,0.0,0.0,90,4418,10,0,0,0,0,0,0,0,1,0,0,0,0
12909,275.76,0.0,0.0,90,5088,9,0,0,0,0,0,0,0,1,0,0,0,0
6738,287.13,0.38,0.0,92,5139,13,0,0,0,0,0,0,0,1,0,0,0,0
9120,287.58,0.0,0.0,0,538,0,0,0,0,0,0,0,0,1,0,0,0,0
35526,302.94,0.0,0.0,1,6024,17,0,0,0,0,0,0,0,1,0,0,0,0
20272,266.95,0.0,0.13,90,505,0,0,0,0,0,0,0,0,1,0,0,0,0
4839,274.27,0.0,0.0,90,2712,20,0,0,0,0,0,0,0,1,0,0,0,0
48091,284.7,0.0,0.0,75,4721,11,0,0,0,0,0,0,0,1,0,0,0,0
11592,269.46,0.0,0.0,64,286,4,0,0,0,0,0,0,0,1,0,0,0,0
38428,272.88,0.0,0.0,90,1364,6,0,0,0,0,0,0,0,1,0,0,0,0
27011,285.49,0.0,0.0,56,666,2,0,0,0,0,0,0,0,1,0,0,0,0
41172,250.15,0.0,0.0,1,4963,9,0,0,0,0,0,0,0,1,0,0,0,0
5394,276.69,0.0,0.0,75,4546,11,0,0,0,0,0,0,0,1,0,0,0,0
10905,252.38,0.0,0.0,90,2099,21,0,0,0,0,0,0,0,1,0,0,0,0
2322,265.29,0.0,0.0,40,2955,10,0,0,0,0,0,0,0,1,0,0,0,0
44189,293.88,0.0,0.0,75,5133,11,0,0,0,0,0,0,0,1,0,0,0,0
44774,291.22,0.0,0.0,40,884,4,0,0,0,0,0,0,0,1,0,0,0,0
24117,302.35,0.0,0.0,0,3478,19,0,0,0,0,0,0,0,1,0,0,0,0
45272,290.62,0.0,0.0,1,1499,7,0,0,0,0,0,0,0,1,0,0,0,0
47621,292.91,0.0,0.0,1,937,4,0,0,0,0,0,0,0,1,0,0,0,0
28550,277.82,0.0,0.0,90,3732,18,0,0,0,0,0,0,0,1,0,0,0,0
5105,271.75,0.0,0.0,90,860,1,0,0,0,0,0,0,0,1,0,0,0,0
21503,272.21,0.0,0.0,90,5230,18,0,0,0,0,0,0,0,1,0,0,0,0
34383,302.15,0.0,0.0,1,4229,18,0,0,0,0,0,0,0,1,0,0,0,0
33183,283.22,0.0,0.0,1,2990,22,0,0,0,0,0,0,0,1,0,0,0,0
37645,290.57,0.0,0.0,90,4683,12,0,0,0,0,0,0,0,1,0,0,0,0
10276,271.01,0.0,0.0,64,324,1,0,0,0,0,0,0,0,1,0,0,0,0
34671,289.42,0.0,0.0,1,1178,23,0,0,0,0,0,0,0,1,0,0,0,0
39146,270.75,0.0,0.0,5,5314,14,0,0,0,0,0,0,0,1,0,0,0,0
31522,283.22,0.0,0.0,90,363,3,0,0,0,0,0,0,0,1,0,0,0,0
14370,282.05,0.0,0.0,12,4781,10,0,0,0,0,0,0,0,1,0,0,0,0
42818,261.22,0.0,0.0,5,1718,8,0,0,0,0,0,0,0,1,0,0,0,0
21584,271.01,0.0,0.0,40,5072,13,0,0,0,0,0,0,0,1,0,0,0,0
11162,249.8,0.0,0.0,1,4282,9,0,0,0,0,0,0,0,1,0,0,0,0
11873,269.7,0.0,0.0,90,268,2,0,0,0,0,0,0,0,1,0,0,0,0
27904,287.84,0.0,0.0,40,4029,18,0,0,0,0,0,0,0,1,0,0,0,0
36340,293.38,0.0,0.0,90,311,3,0,0,0,0,0,0,0,1,0,0,0,0
3474,270.21,0.0,0.0,90,1426,8,0,0,0,0,0,0,0,1,0,0,0,0
5234,277.56,0.0,0.0,90,3796,16,0,0,0,0,0,0,0,1,0,0,0,0
31608,268.71,0.0,0.0,90,5226,9,0,0,0,0,0,0,0,1,0,0,0,0
24364,291.2,0.0,0.0,36,345,2,0,0,0,0,0,0,0,1,0,0,0,0
39020,275.65,0.0,0.0,90,5344,8,0,0,0,0,0,0,0,1,0,0,0,0
24854,296.26,0.0,0.0,90,1154,23,0,0,0,0,0,0,0,1,0,0,0,0
20972,270.79,0.0,0.0,90,1569,22,0,0,0,0,0,0,0,1,0,0,0,0
3696,258.91,0.0,0.0,20,985,23,0,0,0,0,0,0,0,1,0,0,0,0
29542,266.65,0.0,0.0,90,4575,12,0,0,0,0,0,0,0,1,0,0,0,0
46430,294.72,0.0,0.0,90,4379,14,0,0,0,0,0,0,0,1,0,0,0,0
14048,290.98,0.0,0.0,0,6014,17,0,0,0,0,0,0,0,1,0,0,0,0
15278,297.81,0.0,0.0,40,2941,10,0,0,0,0,0,0,0,1,0,0,0,0
1575,271.22,0.0,0.0,59,5913,8,0,0,0,0,0,0,0,1,0,0,0,0
29417,273.65,0.0,0.0,90,1791,8,0,0,0,0,0,0,0,1,0,0,0,0
6093,299.83,0.0,0.0,1,5153,18,0,0,0,0,0,0,0,1,0,0,0,0
43314,270.28,0.0,0.0,90,1794,11,0,0,0,0,0,0,0,1,0,0,0,0
48014,296.9,0.0,0.0,40,4117,17,0,0,0,0,0,0,0,1,0,0,0,0
22488,288.72,0.0,0.0,1,413,4,0,0,0,0,0,0,0,1,0,0,0,0
38578,275.02,0.0,0.0,90,2914,5,0,0,0,0,0,0,0,1,0,0,0,0
33646,292.75,0.0,0.0,40,3203,19,0,0,0,0,0,0,0,1,0,0,0,0
5956,286.18,0.0,0.0,90,1006,0,0,0,0,0,0,0,0,1,0,0,0,0
17380,297.0,0.0,0.0,1,1965,23,0,0,0,0,0,0,0,1,0,0,0,0
23361,273.29,0.0,0.0,1,822,2,0,0,0,0,0,0,0,1,0,0,0,0
3946,267.73,0.0,0.0,90,5156,9,0,0,0,0,0,0,0,1,0,0,0,0
14591,297.65,0.0,0.0,40,4325,18,0,0,0,0,0,0,0,1,0,0,0,0
15304,301.22,0.0,0.0,48,4899,12,0,0,0,0,0,0,0,1,0,0,0,0
44646,286.99,0.0,0.0,90,477,3,0,0,0,0,0,0,0,1,0,0,0,0
11385,271.96,0.0,0.0,64,4706,14,0,0,0,0,0,0,0,1,0,0,0,0
47118,296.34,1.78,0.0,75,6493,7,0,0,0,0,0,0,0,1,0,0,0,0
32979,291.3,0.0,0.0,1,3722,18,0,0,0,0,0,0,0,1,0,0,0,0
34620,290.21,0.0,0.0,75,1387,0,0,0,0,0,0,0,0,1,0,0,0,0
4499,264.35,0.0,0.0,1,1774,8,0,0,0,0,0,0,0,1,0,0,0,0
43727,292.68,0.0,0.0,40,5802,15,0,0,0,0,0,0,0,1,0,0,0,0
15555,290.22,0.0,0.0,1,2117,22,0,0,0,0,0,0,0,1,0,0,0,0
40378,250.02,0.0,0.0,1,2978,22,0,0,0,0,0,0,0,1,0,0,0,0
34365,293.03,0.0,0.0,1,839,0,0,0,0,0,0,0,0,1,0,0,0,0
13189,261.77,0.0,0.0,1,327,1,0,0,0,0,0,0,0,1,0,0,0,0
13152,270.51,0.25,0.0,90,4232,12,0,0,0,0,0,0,0,1,0,0,0,0
651,278.27,0.0,0.0,90,2430,5,0,0,0,0,0,0,0,1,0,0,0,0
14301,283.26,0.0,0.0,44,5031,13,0,0,0,0,0,0,0,1,0,0,0,0
15815,288.89,0.0,0.0,1,984,4,0,0,0,0,0,0,0,1,0,0,0,0
97,278.91,0.0,0.0,90,4779,17,0,0,0,0,0,0,0,1,0,0,0,0
12887,276.15,0.0,0.0,1,4803,11,0,0,0,0,0,0,0,1,0,0,0,0
19424,281.72,0.0,0.0,90,3533,18,0,0,0,0,0,0,0,1,0,0,0,0
30697,262.33,0.0,0.0,5,2571,21,0,0,0,0,0,0,0,1,0,0,0,0
13504,275.2,0.0,0.0,1,2780,5,0,0,0,0,0,0,0,1,0,0,0,0
3382,263.19,0.0,0.0,100,526,0,0,0,0,0,0,0,0,1,0,0,0,0
19481,278.43,0.0,0.0,1,1398,0,0,0,0,0,0,0,0,1,0,0,0,0
35309,291.44,0.0,0.0,90,4984,13,0,0,0,0,0,0,0,1,0,0,0,0
6082,285.31,0.0,0.0,1,5501,6,0,0,0,0,0,0,0,1,0,0,0,0
13314,280.95,0.0,0.0,90,5533,6,0,0,0,0,0,0,0,1,0,0,0,0
42453,277.82,0.0,0.0,1,5694,15,0,0,0,0,0,0,0,1,0,0,0,0
23171,287.39,0.25,0.0,90,2650,20,0,0,0,0,0,0,0,1,0,0,0,0
18180,290.24,0.0,0.0,90,5717,17,0,0,0,0,0,0,0,1,0,0,0,0
40010,263.55,0.0,0.0,90,359,4,0,0,0,0,0,0,0,1,0,0,0,0
28008,271.54,0.0,0.0,1,605,1,0,0,0,0,0,0,0,1,0,0,0,0
43924,289.51,0.0,0.0,40,1513,22,0,0,0,0,0,0,0,1,0,0,0,0
20319,264.58,0.0,0.0,90,498,1,0,0,0,0,0,0,0,1,0,0,0,0
15581,291.3,0.0,0.0,1,822,0,0,0,0,0,0,0,0,1,0,0,0,0
15206,296.15,0.0,0.0,0,4569,18,0,0,0,0,0,0,0,1,0,0,0,0
9433,287.35,0.51,0.0,44,812,1,0,0,0,0,0,0,0,1,0,0,0,0
16094,290.7,0.0,0.0,1,398,1,0,0,0,0,0,0,0,1,0,0,0,0
37964,285.68,0.0,0.0,90,5900,8,0,0,0,0,0,0,0,1,0,0,0,0
12054,257.31,0.0,0.0,40,5730,15,0,0,0,0,0,0,0,1,0,0,0,0
1091,279.79,0.0,0.0,90,793,6,0,0,0,0,0,0,0,1,0,0,0,0
29875,264.58,0.0,0.0,90,1527,22,0,0,0,0,0,0,0,1,0,0,0,0
3743,258.89,0.0,0.0,75,220,2,0,0,0,0,0,0,0,1,0,0,0,0
33356,291.08,0.0,0.0,40,5097,13,0,0,0,0,0,0,0,1,0,0,0,0
34719,299.49,0.0,0.0,1,3462,19,0,0,0,0,0,0,0,1,0,0,0,0
31526,283.62,0.0,0.0,75,5673,6,0,0,0,0,0,0,0,1,0,0,0,0
41352,262.75,0.0,0.0,75,4907,13,0,0,0,0,0,0,0,1,0,0,0,0
9196,290.83,0.0,0.0,1,4518,11,0,0,0,0,0,0,0,1,0,0,0,0
25477,297.37,0.0,0.0,0,470,3,0,0,0,0,0,0,0,1,0,0,0,0
46250,286.15,0.0,0.0,1,1210,6,0,0,0,0,0,0,0,1,0,0,0,0
36298,291.3,0.0,0.0,1,421,1,0,0,0,0,0,0,0,1,0,0,0,0
26757,294.32,0.0,0.0,0,4351,13,0,0,0,0,0,0,0,1,0,0,0,0
30206,272.62,0.0,0.0,1,542,1,0,0,0,0,0,0,0,1,0,0,0,0
2296,259.03,0.0,0.0,1,1451,7,0,0,0,0,0,0,0,1,0,0,0,0
1343,275.06,0.0,0.0,1,746,4,0,0,0,0,0,0,0,1,0,0,0,0
39046,276.36,0.0,0.0,90,6629,16,0,0,0,0,0,0,0,1,0,0,0,0
45826,295.01,0.0,0.0,1,1971,23,0,0,0,0,0,0,0,1,0,0,0,0
31811,274.88,0.0,0.0,40,327,2,0,0,0,0,0,0,0,1,0,0,0,0
15044,293.63,0.0,0.0,90,5740,15,0,0,0,0,0,0,0,1,0,0,0,0
38067,284.15,0.0,0.0,75,4910,17,0,0,0,0,0,0,0,1,0,0,0,0
16179,288.1,0.0,0.0,1,2820,23,0,0,0,0,0,0,0,1,0,0,0,0
8352,290.32,0.0,0.0,44,1896,22,0,0,0,0,0,0,0,1,0,0,0,0
9367,290.9,0.0,0.0,1,337,1,0,0,0,0,0,0,0,1,0,0,0,0
5131,273.69,0.0,0.0,90,1950,21,0,0,0,0,0,0,0,1,0,0,0,0
38762,270.21,0.0,0.0,1,6126,6,0,0,0,0,0,0,0,1,0,0,0,0
11759,258.69,0.0,0.0,64,2723,21,0,0,0,0,0,0,0,1,0,0,0,0
27601,279.589,0.0,0.0,92,4466,9,0,0,0,0,0,0,0,1,0,0,0,0
18384,288.64,0.25,0.0,75,5053,14,0,0,0,0,0,0,0,1,0,0,0,0
4988,272.52,0.0,0.0,90,238,2,0,0,0,0,0,0,0,1,0,0,0,0
46823,294.01,0.0,0.0,1,2044,23,0,0,0,0,0,0,0,1,0,0,0,0
23066,290.83,0.0,0.0,1,803,0,0,0,0,0,0,0,0,1,0,0,0,0
33862,282.22,0.0,0.0,90,1299,0,0,0,0,0,0,0,0,1,0,0,0,0
38978,273.42,0.0,0.0,90,6923,16,0,0,0,0,0,0,0,1,0,0,0,0
15140,292.08,0.0,0.0,0,6405,7,0,0,0,0,0,0,0,1,0,0,0,0
40953,269.15,0.0,0.0,90,5616,8,0,0,0,0,0,0,0,1,0,0,0,0
23475,291.24,0.0,0.0,40,2680,21,0,0,0,0,0,0,0,1,0,0,0,0
10894,254.41,0.0,0.0,64,4314,9,0,0,0,0,0,0,0,1,0,0,0,0
1625,274.0,0.0,0.0,90,1917,23,0,0,0,0,0,0,0,1,0,0,0,0
35911,285.93,0.0,0.0,90,5104,13,0,0,0,0,0,0,0,1,0,0,0,0
45697,300.82,0.0,0.0,5,2633,21,0,0,0,0,0,0,0,1,0,0,0,0
14403,291.58,0.0,0.0,75,3699,19,0,0,0,0,0,0,0,1,0,0,0,0
22893,277.36,0.51,0.0,90,597,0,0,0,0,0,0,0,0,1,0,0,0,0
18742,281.77,0.0,0.0,0,1186,0,0,0,0,0,0,0,0,1,0,0,0,0
975,277.41,0.0,0.0,90,7088,7,0,0,0,0,0,0,0,1,0,0,0,0
18198,280.2,0.0,0.0,1,1200,7,0,0,0,0,0,0,0,1,0,0,0,0
33303,279.08,0.0,0.0,40,6089,8,0,0,0,0,0,0,0,1,0,0,0,0
35254,299.51,0.0,0.0,1,4552,11,0,0,0,0,0,0,0,1,0,0,0,0
22114,277.93,0.0,0.0,1,6786,7,0,0,0,0,0,0,0,1,0,0,0,0
45785,296.06,0.0,0.0,90,439,1,0,0,0,0,0,0,0,1,0,0,0,0
30785,267.39,0.0,0.0,40,4341,13,0,0,0,0,0,0,0,1,0,0,0,0
18536,291.46,0.85,0.0,90,386,3,0,0,0,0,0,0,0,1,0,0,0,0
