,temperature,rain_1h,snow_1h,clouds_percentage,population_density,hour,_Christmas Day,_Columbus Day,_Independence Day,_Labor Day,_Martin Luther King Jr Day,_Memorial Day,_New Years Day,_None,_State Fair,_Thanksgiving Day,_Veterans Day,_Washingtons Birthday
42808,264.31,0.0,0.0,1,2695,22,0,0,0,0,0,0,0,1,0,0,0,0
11459,266.31,0.0,0.0,90,3080,8,0,0,0,0,0,0,0,1,0,0,0,0
35877,299.93,0.0,0.0,75,6330,16,0,0,0,0,0,0,0,1,0,0,0,0
35037,286.95,0.0,0.0,1,935,4,0,0,0,0,0,0,0,1,0,0,0,0
33516,290.75,0.0,0.0,90,5667,15,0,0,0,0,0,0,0,1,0,0,0,0
36804,285.43,0.0,0.0,1,853,4,0,0,0,0,0,0,0,1,0,0,0,0
32024,276.81,0.0,0.0,90,5276,11,0,0,0,0,0,0,0,1,0,0,0,0
14422,295.12,0.0,0.0,40,4914,14,0,0,0,0,0,0,0,1,0,0,0,0
1835,272.12,0.0,0.0,90,944,21,0,0,0,0,0,0,0,1,0,0,0,0
18945,294.57,0.0,0.0,75,868,23,0,0,0,0,0,0,0,1,0,0,0,0
15576,297.64,0.0,0.0,40,3592,19,0,0,0,0,0,0,0,1,0,0,0,0
17349,300.03,0.0,0.0,1,6139,17,0,0,0,0,0,0,0,1,0,0,0,0
45826,295.01,0.0,0.0,1,1971,23,0,0,0,0,0,0,0,1,0,0,0,0
4848,276.27,0.0,0.0,1,284,4,0,0,0,0,0,0,0,1,0,0,0,0
30294,275.09,0.0,0.0,90,2721,20,0,0,0,0,0,0,0,1,0,0,0,0
13133,268.99,0.0,0.0,75,3857,17,0,0,0,0,0,0,0,1,0,0,0,0
3574,266.9,0.0,0.0,77,6544,8,0,0,0,0,0,0,0,1,0,0,0,0
40920,260.76,0.0,0.0,1,373,3,0,0,0,0,0,0,0,1,0,0,0,0
3068,270.92,0.0,0.0,58,3795,14,0,0,0,0,0,0,0,1,0,0,0,0
27409,284.634,0.0,0.0,64,591,0,0,0,0,0,0,0,0,1,0,0,0,0
19374,278.15,0.0,0.0,5,2181,8,0,0,0,0,0,0,0,1,0,0,0,0
9042,295.65,0.0,0.0,40,6259,17,0,0,0,0,0,0,0,1,0,0,0,0
38117,291.52,0.0,0.0,20,3550,19,0,0,0,0,0,0,0,1,0,0,0,0
46989,291.79,2.03,0.0,90,4539,10,0,0,0,0,0,0,0,1,0,0,0,0
5950,291.51,0.0,0.0,1,2394,19,0,0,0,0,0,0,0,1,0,0,0,0
46730,300.93,0.0,0.0,40,4968,14,0,0,0,0,0,0,0,1,0,0,0,0
2851,274.67,0.0,0.0,90,1696,7,0,0,0,0,0,0,0,1,0,0,0,0
25048,297.888,0.0,0.0,0,1955,22,0,0,0,0,0,0,0,1,0,0,0,0
14027,285.83,0.0,0.0,92,2801,20,0,0,0,0,0,0,0,1,0,0,0,0
